BLOCK_ID,STREET_BLOCK,lat,lng
36312,COLUMBUS AVE 1200,37.8052078,-122.417178
36313,COLUMBUS AVE 1300,37.806587,-122.4180126
44045,GEARY BLVD 4500,37.7809434,-122.4675232
54230,LARKIN ST 3000,37.8057188,-122.4219119
54628,LEAVENWORTH ST 2800,37.8074236,-122.4189055
54700,LECH WALESA ST 0,37.7779885,-122.4181741
54920,LOMBARD ST 2000,37.8001007,-122.4345287
30500,AVILA ST 0,37.8003202,-122.4403346
37001,CAPP ST 100,37.7651048,-122.418723
44302,GOUGH ST 200,37.7750244,-122.4226229
56225,MASON ST 2500,37.8072961,-122.4129242
56226,MASON ST 2600,37.8075059,-122.4140021
38003,DAVIS ST 300,37.7953511,-122.398003
38600,DRUMM ST 0,37.7937713,-122.3963782
44303,GOUGH ST 300,37.7762533,-122.4225513
52402,KING ST 200,37.7783025,-122.3925639
54015,LAGUNA ST 1500,37.7855185,-122.4273479
41102,FELL ST 200,37.776164,-122.4211663
54921,LOMBARD ST 2100,37.7998947,-122.4360847
54923,LOMBARD ST 2300,37.7996339,-122.4395266
41511,FILLMORE ST 1100,37.7798911,-122.4317277
46400,HAYES ST 0,37.7777515,-122.4164152
56801,MISSION ST 100,37.7925462,-122.394514
56806,MISSION ST 600,37.7880115,-122.3998241
41515,FILLMORE ST 1500,37.7835633,-122.4324574
46700,HICKORY ST 0,37.7758888,-122.4195133
46701,HICKORY ST 100,37.7757041,-122.4210714
41321,FILBERT ST 2100,37.7982383,-122.4340717
33005,BRANNAN ST 500,37.7783017,-122.3968833
33104,BRYANT ST 400,37.7831139,-122.3937144
33418,BUCHANAN ST 1800,37.7865234,-122.4299923
58509,NORTH POINT ST 900,37.8053923,-122.4235114
59227,OCTAVIA ST 2700,37.7970094,-122.4287559
33429,BUCHANAN ST 2900,37.7965897,-122.4320341
33602,BUSH ST 200,37.7912937,-122.4010389
41800,FOLSOM ST 0,37.7905854,-122.3903557
57104,MONTGOMERY ST 400,37.7931409,-122.4025849
57105,MONTGOMERY ST 500,37.7939255,-122.4027911
58001,NATOMA ST 100,37.7872163,-122.3988281
33903,BERRY ST 300,37.77393,-122.396241
41901,FRANKLIN ST 100,37.7752365,-122.420977
56604,MERCHANT ST 400,37.7954592,-122.4004568
56800,MISSION ST 0,37.7936242,-122.3927113
35420,CHESTNUT ST 2000,37.8009172,-122.4366824
41905,FRANKLIN ST 500,37.7790728,-122.421744
60802,PIXLEY ST 200,37.7984877,-122.4357954
61200,POLK ST 0,37.7793748,-122.4184394
61201,POLK ST 100,37.7767168,-122.4177977
61203,POLK ST 300,37.7802892,-122.4186211
68126,TAYLOR ST 2600,37.8063649,-122.4154558
61624,POWELL ST 2400,37.8067848,-122.412167
64001,REDWOOD ST 100,37.7807882,-122.4187457
72002,WASHINGTON ST 200,37.7965198,-122.3987759
61416,POST ST 1600,37.7859905,-122.4284532
61417,POST ST 1700,37.7857557,-122.4301162
68402,TOWNSEND ST 200,37.7789009,-122.393248
68403,TOWNSEND ST 300,37.7772336,-122.394831
64403,RITCH ST 300,37.7796784,-122.3948573
65001,SACRAMENTO ST 100,37.7946077,-122.3966695
72215,WEBSTER ST 1500,37.7847466,-122.4311671
59000,OAK ST 0,37.7754326,-122.4194222
65003,SACRAMENTO ST 300,37.7942185,-122.3996037
65004,SACRAMENTO ST 400,37.7941486,-122.4001815
65005,SACRAMENTO ST 500,37.7940762,-122.4016686
72222,WEBSTER ST 2200,37.7912391,-122.4322807
72228,WEBSTER ST 2800,37.7963829,-122.4336822
59228,OCTAVIA ST 2800,37.7979461,-122.4289352
70005,VALENCIA ST 500,37.7647761,-122.4221482
70006,VALENCIA ST 600,37.7633002,-122.4217562
70007,VALENCIA ST 700,37.7615748,-122.4218006
65100,SANSOME ST 0,37.7902741,-122.4005915
72229,WEBSTER ST 2900,37.7973093,-122.4338712
72502,WEST PORTAL AVE 200,37.7389361,-122.4683958
72503,WEST PORTAL AVE 300,37.7380371,-122.4695014
60604,PINE ST 400,37.7919089,-122.4026097
60732,PIERCE ST 3200,37.799385,-122.4393443
70008,VALENCIA ST 800,37.7599654,-122.4218144
70009,VALENCIA ST 900,37.7583973,-122.4215428
70010,VALENCIA ST 1000,37.7567253,-122.421388
70011,VALENCIA ST 1100,37.7551904,-122.4212313
65232,SCOTT ST 3200,37.7992765,-122.4410181
72221,WEBSTER ST 2100,37.790622,-122.4321701
65803,SPEAR ST 300,37.7898081,-122.3910386
83102,EMBARCADERO SOUTH 200,37.792362,-122.3912341
65804,SPEAR ST 400,37.7883781,-122.3894705
86404,SPEAR ST 400,37.7883781,-122.3894705
11002,10TH AVE 200,37.7844365,-122.4686589
11427,14TH AVE 2700,37.7384857,-122.4694351
41530,FILLMORE ST 3000,37.7970944,-122.4355125
20103,01ST ST 300,37.7873301,-122.3945183
33904,BERRY ST 400,37.7724092,-122.3976386
35423,CHESTNUT ST 2300,37.80035,-122.441487
57101,MONTGOMERY ST 100,37.7902242,-122.4020459
20206,02ND ST 600,37.781845,-122.3920691
35904,CLAY ST 400,37.795,-122.4003651
54200,LARKIN ST 0,37.7777515,-122.4164152
20406,04TH ST 600,37.778341,-122.3965525
36001,CLEMENT ST 100,37.7832854,-122.4604131
20506,05TH ST 600,37.776553,-122.3987342
21629,16TH ST 2900,37.7651948,-122.4175375
21630,16TH ST 3000,37.7652305,-122.4199786
44042,GEARY BLVD 4200,37.7812315,-122.4645384
44046,GEARY BLVD 4600,37.7808985,-122.4685858
32404,BATTERY ST 400,37.7950057,-122.4003559
32405,BATTERY ST 500,37.7961395,-122.4001907
32505,BAY ST 500,37.8054341,-122.4152664
46002,HALLECK ST 200,37.8026647,-122.4544856
33004,BRANNAN ST 400,37.780088,-122.3946962
36006,CLEMENT ST 600,37.7831585,-122.4656871
47100,HARRISON ST 0,37.7893114,-122.3888187
47105,HARRISON ST 500,37.7858607,-122.3931962
33601,BUSH ST 100,37.7914786,-122.3999468
61419,POST ST 1900,37.7851693,-122.433106
72001,WASHINGTON ST 100,37.796697,-122.397771
72003,WASHINGTON ST 300,37.7959777,-122.3997325
61231,POLK ST 3100,37.8053062,-122.4236784
69117,UNION ST 1700,37.7982747,-122.4274378
72005,WASHINGTON ST 500,37.7959296,-122.402083
72025,WASHINGTON ST 2500,37.7917885,-122.4346008
59001,OAK ST 100,37.7712609,-122.4523647
69118,UNION ST 1800,37.7981222,-122.4291397
69120,UNION ST 2000,37.7976259,-122.4324404
69121,UNION ST 2100,37.7974064,-122.4340443
69122,UNION ST 2200,37.7971851,-122.435676
65024,SACRAMENTO ST 2400,37.7900517,-122.4324179
65025,SACRAMENTO ST 2500,37.7898407,-122.4340647
72216,WEBSTER ST 1600,37.7856442,-122.4309314
60601,PINE ST 100,37.7926239,-122.3989915
60603,PINE ST 300,37.7922678,-122.4012549
70004,VALENCIA ST 400,37.7663775,-122.4224013
65101,SANSOME ST 100,37.7913396,-122.4005373
65103,SANSOME ST 300,37.7930727,-122.4011668
72500,WEST PORTAL AVE 0,37.7407572,-122.4658766
60733,PIERCE ST 3300,37.8004112,-122.4395479
65105,SANSOME ST 500,37.7952104,-122.4011537
65106,SANSOME ST 600,37.7957317,-122.401685
81801,BRANNAN ST 100,37.7851708,-122.3887624
82001,BRYANT ST 100,37.7862684,-122.3896965
65802,SPEAR ST 200,37.7913145,-122.3925366
83100,EMBARCADERO SOUTH 0,37.808474,-122.4117713
61400,POST ST 0,37.789016,-122.4027904
84704,JEFFERSON ST 400,37.8080391,-122.4193399
47228,HYDE ST 2800,37.8068579,-122.4205828
41806,FOLSOM ST 600,37.7855662,-122.3969688
20202,02ND ST 200,37.7867674,-122.3982376
35422,CHESTNUT ST 2200,37.8005396,-122.4397476
41902,FRANKLIN ST 200,37.7761687,-122.4211672
57001,MINNA ST 100,37.7875852,-122.3992878
35924,CLAY ST 2400,37.7910387,-122.4327891
42002,FREMONT ST 200,37.7889047,-122.3950663
42201,FRONT ST 100,37.7924367,-122.3986138
20306,03RD ST 600,37.779825,-122.394356
36000,CLEMENT ST 0,37.7833839,-122.4593038
36002,CLEMENT ST 200,37.7832733,-122.4614084
44015,GEARY BLVD 1500,37.7850457,-122.4280326
21631,16TH ST 3100,37.7650668,-122.4221138
52001,KEARNY ST 100,37.7889111,-122.4036876
36405,COMMERCIAL ST 500,37.7944424,-122.4014585
54028,LAGUNA ST 2800,37.7968019,-122.4303949
32604,BEACH ST 400,37.8074173,-122.4158981
54924,LOMBARD ST 2400,37.7993914,-122.4412001
41523,FILLMORE ST 2300,37.790896,-122.4340009
56100,MAIN ST 0,37.7928314,-122.3962053
38000,DAVIS ST 0,37.7925886,-122.3974401
38002,DAVIS ST 200,37.7944646,-122.3978081
32603,BEACH ST 300,37.8074946,-122.4140166
38602,DRUMM ST 200,37.7955782,-122.3967436
41512,FILLMORE ST 1200,37.7807299,-122.4319047
65104,SANSOME ST 400,37.7942774,-122.4011031
82606,DELANCEY ST 600,37.783625,-122.3898568
83000,EMBARCADERO NORTH 0,37.808474,-122.4117713
